equipment,model,file,folder,download_date
Aircraft,An-26_transport_aircraft,an-26_transport_aircraft_448.png,img_russia,2023-10-02
Aircraft,Beriev_A-50,beriev_a-50_1000-a50-destr-23-02-23.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Beriev_A-50,beriev_a-50_1032-a50-awacs-destr-14-01-24.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Beriev_Be-200_amphibious_flying_boat,beriev_be-200_amphibious_flying_boat_1076-be-200-dam-05-04-24.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Il-22_airborne_command_post,il-22_airborne_command_post_1024-il-22-airborne-command-post-dam-14-01-24.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Il-22_airborne_command_post,il-22_airborne_command_post_1051-il-22-dam-03-04-22.jpg,img_russia,2023-10-02
Aircraft,Il-76_transport_aircraft,il-76_transport_aircraft_1018-il-76-transport-aircraft-destr-24-01-24.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Il-76_transport_aircraft,il-76_transport_aircraft_24k.png,img_russia,2023-10-02
Aircraft,MiG-31BM_fighter_aircraft,mig-31bm_fighter_aircraft_1037-mi-g-31-bm-fighter-aircraft-destr-15-05-24.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,MiG-31BM_fighter_aircraft,mig-31bm_fighter_aircraft_1038-mi-g-31-bm-fighter-aircraft-destr-15-05-24.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Su-24MR_tactical_reconnaissance_aircraft,su-24mr_tactical_reconnaissance_aircraft_6653.png,img_russia,2023-10-02
Aircraft,Su-24M_MR_strike_tactical_reconnaissance_aircraft,su-24m_mr_strike_tactical_reconnaissance_aircraft_1008-su-24m-dam-13-02-23.jpg,img_russia,2023-10-02
Aircraft,Su-24M_MR_strike_tactical_reconnaissance_aircraft,su-24m_mr_strike_tactical_reconnaissance_aircraft_1009-su24m-destr-29-03-23.jpg,img_russia,2023-10-02
Aircraft,Su-24M_MR_strike_tactical_reconnaissance_aircraft,su-24m_mr_strike_tactical_reconnaissance_aircraft_3326.png,img_russia,2023-10-02
Aircraft,Su-24M_MR_strike_tactical_reconnaissance_aircraft,su-24m_mr_strike_tactical_reconnaissance_aircraft_436.png,img_russia,2023-10-02
Aircraft,Su-24M_strike_aircraft,su-24m_strike_aircraft_1008-su-24m-destr-05-12-23.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Su-24M_strike_aircraft,su-24m_strike_aircraft_1045-su-24-m-destr-06-11-23.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Su-24M_strike_aircraft,su-24m_strike_aircraft_42.png,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_1000-su-25-destr-26-02-23.jpg,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_1008-su25.jpg,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_1019-su25-destr-06-06-24.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_1033-su-25-destr-01-03-23.jpg,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_1040-su25-destr-17-12-23.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_1303-su25-destr-07-03-22.jpg,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_25.png,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_2d.png,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_338.png,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_360.png,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_38.png,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_42.png,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_46.png,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_6522.png,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_658.png,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_675.png,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_6y6.png,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_h7.jpg,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_h9.png,img_russia,2023-10-02
Aircraft,Su-25_close_air_support_aircraft,su-25_close_air_support_aircraft_n86.png,img_russia,2023-10-02
Aircraft,Su-27_strike_aircraft,su-27_strike_aircraft_1082-su-27-fighter-aircraft-destr-19-05-24.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Su-30SM_multirole_aircraft,su-30sm_multirole_aircraft_1003-su30.jpg,img_russia,2023-10-02
Aircraft,Su-30SM_multirole_aircraft,su-30sm_multirole_aircraft_1070-su-30-sm-multirole-aircraft-destr-13-03-22.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Su-30SM_multirole_aircraft,su-30sm_multirole_aircraft_3326.png,img_russia,2023-10-02
Aircraft,Su-30SM_multirole_aircraft,su-30sm_multirole_aircraft_443.png,img_russia,2023-10-02
Aircraft,Su-30SM_multirole_aircraft,su-30sm_multirole_aircraft_65.png,img_russia,2023-10-02
Aircraft,Su-30SM_multirole_aircraft,su-30sm_multirole_aircraft_763.png,img_russia,2023-10-02
Aircraft,Su-30SM_multirole_aircraft,su-30sm_multirole_aircraft_7699.png,img_russia,2023-10-02
Aircraft,Su-34_strike_aircraft,su-34_strike_aircraft_1011-3x-su34-destr-22-12-23.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Su-34_strike_aircraft,su-34_strike_aircraft_1047-su34-destr-06-05-24.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Su-34_strike_aircraft,su-34_strike_aircraft_1059-su-34-strike-aircraft-destr-06-10-22.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Su-34_strike_aircraft,su-34_strike_aircraft_1069-2x-unkn-aircraft-damaged-14-06-24.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Su-34_strike_aircraft,su-34_strike_aircraft_1096-su34-destr-11-06-24.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Su-34_strike_aircraft,su-34_strike_aircraft_3116.png,img_russia,2023-10-02
Aircraft,Su-34_strike_aircraft,su-34_strike_aircraft_46.png,img_russia,2023-10-02
Aircraft,Su-34_strike_aircraft,su-34_strike_aircraft_55j.png,img_russia,2023-10-02
Aircraft,Su-34_strike_aircraft,su-34_strike_aircraft_5gh.png,img_russia,2023-10-02
Aircraft,Su-34_strike_aircraft,su-34_strike_aircraft_790.png,img_russia,2023-10-02
Aircraft,Su-34_strike_aircraft,su-34_strike_aircraft_a1.png,img_russia,2023-10-02
Aircraft,Su-34_strike_aircraft,su-34_strike_aircraft_a2.png,img_russia,2023-10-02
Aircraft,Su-34_strike_aircraft,su-34_strike_aircraft_b8.jpg,img_russia,2023-10-02
Aircraft,Su-35S_multirole_aircraft,su-35s_multirole_aircraft_1003-su35-destr-19-02-24.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Su-35S_multirole_aircraft,su-35s_multirole_aircraft_1020-su35-destr-17-02-24.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Su-35S_multirole_aircraft,su-35s_multirole_aircraft_1301-su35-destr-19-07-22.jpg,img_russia,2023-10-02
Aircraft,Su-35S_multirole_aircraft,su-35s_multirole_aircraft_32f.png,img_russia,2023-10-02
Aircraft,Su-35S_multirole_aircraft,su-35s_multirole_aircraft_439.png,img_russia,2023-10-02
Aircraft,Su-35S_multirole_aircraft,su-35s_multirole_aircraft_image.jpg,img_russia,2023-10-02
Aircraft,Su-57_Stealth_multirole_fighter,su-57_stealth_multirole_fighter_1000-su57-dam-08-06-24.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Tu-22M3_strategic_bomber,tu-22m3_strategic_bomber_1041-tu23m3-backfire-destr-19-08-23.jpg,img_russia,2023-10-02
Aircraft,Tu-22M3_strategic_bomber,tu-22m3_strategic_bomber_559.png,img_russia,2023-10-02
Aircraft,Tu-95MS_strategic_bomber,tu-95ms_strategic_bomber_68.png,img_russia,2023-10-02
Aircraft,Unknown_fighter_jet,unknown_fighter_jet_1003-unkn-fighter-jet-destr-06-10-23.jpg,img_russia_2024-07-12,2024-07-12
Aircraft,Unknown_fighter_jet,unknown_fighter_jet_1036-unknown-fighter-aircraft-destr-15-05-24.jpg,img_russia_2024-07-12,2024-07-12
Anti-Aircraft_Guns,23mm_ZU-23-2,23mm_zu-23-2_1010-zu-23-2-capt.jpg,img_russia,2023-10-02
Anti-Aircraft_Guns,23mm_ZU-23-2,23mm_zu-23-2_1021-zu-23-2-capt-16-02-23.jpg,img_russia,2023-10-02
Anti-Aircraft_Guns,23mm_ZU-23-2,23mm_zu-23-2_1030-zu23-2.jpg,img_russia,2023-10-02
Anti-Aircraft_Guns,23mm_ZU-23-2,23mm_zu-23-2_1031-zu-23-2-destr-28-12-23.jpg,img_russia_2024-07-12,2024-07-12
Anti-Aircraft_Guns,23mm_ZU-23-2,23mm_zu-23-2_1049-zu-23-2-capt-31-08-22.jpg,img_russia_2024-07-12,2024-07-12
Anti-Aircraft_Guns,23mm_ZU-23-2,23mm_zu-23-2_1064-zu23-2-destr-21-08-23.jpg,img_russia_2024-07-12,2024-07-12
Anti-Aircraft_Guns,23mm_ZU-23-2,23mm_zu-23-2_366.png,img_russia,2023-10-02
Anti-Aircraft_Guns,23mm_ZU-23-2,23mm_zu-23-2_3d14.png,img_russia,2023-10-02
Anti-Aircraft_Guns,23mm_ZU-23-2,23mm_zu-23-2_42.png,img_russia,2023-10-02
Anti-Aircraft_Guns,23mm_ZU-23-2,23mm_zu-23-2_467.png,img_russia,2023-10-02
Anti-Aircraft_Guns,23mm_ZU-23-2,23mm_zu-23-2_4fh.png,img_russia,2023-10-02
Anti-Aircraft_Guns,23mm_ZU-23-2,23mm_zu-23-2_s2.png,img_russia,2023-10-02
Anti-Aircraft_Guns,23mm_ZU-23-2,23mm_zu-23-2_zu-23-2-captured.png,img_russia,2023-10-02
Anti-Aircraft_Guns,57mm_AZP_S-60,57mm_azp_s-60_1021-ural-4320-36-with-s-60-destr-11-11-23.jpg,img_russia_2024-07-12,2024-07-12
