equipment,model,sub_model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,captured and stripped,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,defected and captured,destroyed,destroyed in a non-combat related incident,sunk
Helicopters,Mi-8 transport helicopter,,Russia,34,,1.0,,,,10.0,,,,1.0,21.0,1.0,
Helicopters,Mi-8MTPR-1 electronic warfare helicopter,,Russia,6,,,,,,1.0,,,,,5.0,,
Helicopters,Mi-24P attack helicopter,,the Soviet Union,4,,,,,,,,,,,4.0,,
Helicopters,Mi-24V/P/35M attack helicopter,,Russia,4,,,,,,2.0,,,,,2.0,,
Helicopters,Mi-35M attack helicopter,,Russia,10,,,,,,1.0,,,,,9.0,,
Helicopters,Mi-28 attack helicopter,,Russia,13,,,,,,4.0,,,,,9.0,,
Helicopters,Ka-29 naval attack helicopter,,the Soviet Union,1,,,,,,,,,,,1.0,,
Helicopters,Ka-52 Alligator attack helicopter,,Russia,60,,2.0,,,,12.0,,1.0,,,44.0,1.0,
Helicopters,Unknown helicopter,,Russia,6,,,,,,,,,,,6.0,,
Unmanned Combat Aerial Vehicles,Orion,,Russia,6,,,,,,,,,,,6.0,,
Unmanned Combat Aerial Vehicles,Korsar,,Russia,1,,,,,,,,,,,1.0,,
Unmanned Combat Aerial Vehicles,Forpost-RU,,Russia,1,,,,,,,,,,,1.0,,
Unmanned Combat Aerial Vehicles,Mohajer-6,,Iran,3,,,,,,1.0,,,,,2.0,,
Unmanned Combat Aerial Vehicles,Orlan-10 UCAV,,Russia,3,,,2.0,,,,,,,,1.0,,
Unmanned Combat Aerial Vehicles,Eleron T-16,,Russia,1,,,1.0,,,,,,,,,,
Reconnaissance Unmanned Aerial Vehicles,Forpost,,Israel,5,,,,,,,,,,,4.0,1.0,
Reconnaissance Unmanned Aerial Vehicles,Orlan-10,,Russia,184,,,75.0,,,,,,,,109.0,,
Reconnaissance Unmanned Aerial Vehicles,Orlan-10 jamming UAV,,Russia,5,,,3.0,,,,,,,,2.0,,
Reconnaissance Unmanned Aerial Vehicles,'Orlan-20' ''Kartograf'',,Russia,18,,,2.0,,,,,1.0,,,15.0,,
Reconnaissance Unmanned Aerial Vehicles,Orlan-30,,Russia,11,,,4.0,,,,,,,,7.0,,
Reconnaissance Unmanned Aerial Vehicles,Granat-3,,Russia,1,,,,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Granat-4,,Russia,7,,,2.0,,,,,,,,5.0,,
Reconnaissance Unmanned Aerial Vehicles,Eleron-3,,Russia,35,,,24.0,,,,,,,,11.0,,
Reconnaissance Unmanned Aerial Vehicles,Eleron-3SV,,Russia,1,,,,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Eleron-10,,Russia,3,,,2.0,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Eleron T28ME,,Russia,7,,,3.0,,,,,,,,4.0,,
Reconnaissance Unmanned Aerial Vehicles,Takhion,,Russia,7,,,5.0,,,,,,,,2.0,,
Reconnaissance Unmanned Aerial Vehicles,ZALA 421-16Е,,Russia,67,,,15.0,,,,,,,,52.0,,
Reconnaissance Unmanned Aerial Vehicles,ZALA 421-16ЕM,,Russia,2,,,2.0,,,,,,,,,,
Reconnaissance Unmanned Aerial Vehicles,Merlin-VR,,Russia,1,,,,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Lastochka-M,,Russia,1,,,1.0,,,,,,,,,,
Reconnaissance Unmanned Aerial Vehicles,Supercam S150,,Russia,2,,,1.0,,,,,,,,1.0,,
Reconnaissance Unmanned Aerial Vehicles,Supercam S350,,Russia,31,,,8.0,,,,,,,,23.0,,
Reconnaissance Unmanned Aerial Vehicles,Grifon-12,,Russia,1,,,1.0,,,,,,,,,,
Naval Ships and Submarines,Project 1164 Slava-class guided missile cruiser,Moskva,the Soviet Union,1,,,,,,,,,,,,,1.0
Naval Ships and Submarines,Project 22800 Karakurt-class corvette,B-801 'Tsiklon',Russia,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 22800 Karakurt-class corvette,B-802 'Askold',Russia,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 636.3 Improved Kilo-class submarine,B-237 'Rostov-na-Donu',Russia,1,,,,,,,,,1.0,,,,
Naval Ships and Submarines,Project 03160 Raptor-class patrol boat,,Russia,5,,,,,,2.0,,,,,3.0,,
Naval Ships and Submarines,Project 02510 BK-16E high-speed assault boat,,Russia,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 640 small patrol boat,,Russia,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 1171 Tapir-class landing ship,BDK-65 'Saratov',the Soviet Union,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 775 Ropucha-class landing ship,'Minsk',Poland,1,,,,,,,,,1.0,,,,
Naval Ships and Submarines,Project 775 Ropucha-class landing ship,BDK-46 'Novocherkassk',Poland,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 775 Ropucha-class landing ship,BDK-64 'Caesar Kunikov',Poland,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 11770 Serna-class landing craft,,Russia,2,,,,,,1.0,,,,,1.0,,
Naval Ships and Submarines,Project 1176 Ondatra-class landing craft,,the Soviet Union,1,,,,,,1.0,,,,,,,
Naval Ships and Submarines,Project 22870 rescue tug,SB-739 V'asily Bekh',Russia,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 266M Natya-class minesweeper,,the Soviet Union,1,,,,,,1.0,,,,,,,
Naval Ships and Submarines,Project 12411 Tarantul-III-class corvette,Ivanovets,the Soviet Union,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 22160 large patrol boat,Sergey Kotov,Russia,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Stenka-class patrol boat,,the Soviet Union,1,,,,,,1.0,,,,,,,
Naval Ships and Submarines,Project KS-701 'Tunets' coast guard patrol boat,,Russia,1,,,,,,,,,,,1.0,,
Naval Ships and Submarines,Project 18280 'Yuri Ivanov' class reconnaissance ship,Ivan Khurs,Russia,1,,,,,,1.0,,,,,,,
Naval Ships and Submarines,T-43 class training vessel,UTS-150,the Soviet Union,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",GAZ-51,,the Soviet Union,1,,,1.0,,,,,,,,,,
"Trucks, Vehicles, and Jeeps",GAZ-66,,the Soviet Union,55,,,13.0,,,,,,,,42.0,,
"Trucks, Vehicles, and Jeeps",KrAZ-255B,,the Soviet Union,4,,,1.0,,,1.0,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",KrAZ-255B tanker,,the Soviet Union,9,,,,,,,,1.0,,,8.0,,
"Trucks, Vehicles, and Jeeps",KrAZ-260,,the Soviet Union,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",KrAZ-260 tanker,,the Soviet Union,9,,,1.0,,,1.0,,,,,7.0,,
"Trucks, Vehicles, and Jeeps",ZiL-130,,the Soviet Union,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",ZiL-131,,the Soviet Union,40,,,6.0,,,1.0,,2.0,,,31.0,,
"Trucks, Vehicles, and Jeeps",ZiL-131 tanker,,the Soviet Union,3,,,1.0,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",2F77M transloading vehicle for 2K22M Tunguska-M,,Russia,1,,,,,,,,1.0,,,,,
"Trucks, Vehicles, and Jeeps",2F510 transport vehicle for 2S12 'Sani' mortar on Ural-43206 chassis,,Russia,4,,,,,,,,,,,4.0,,
"Trucks, Vehicles, and Jeeps",9T217 transloader (for 9K33 Osa),,the Soviet Union,5,,,2.0,,,,,,,,3.0,,
"Trucks, Vehicles, and Jeeps",9T244 transloader (for 9A330/1 Tor),,Russia,7,,,,,,,,2.0,,,5.0,,
"Trucks, Vehicles, and Jeeps",BAZ-69092 (for S-400),,Russia,2,,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",GAZ-3308,,Russia,11,2.0,,2.0,,,,,,,,7.0,,
"Trucks, Vehicles, and Jeeps",GAZ Sobol,,Russia,2,1.0,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",APA-80 engine starting vehicle,,the Soviet Union,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",APA-5D airfield starter vehicle,,the Soviet Union,2,,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",Ural-375D,,the Soviet Union,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Ural-375D tanker,,the Soviet Union,1,,,1.0,,,,,,,,,,
"Trucks, Vehicles, and Jeeps",Ural-4320,,Russia,969,11.0,,135.0,,,23.0,4.0,12.0,,,784.0,,
"Trucks, Vehicles, and Jeeps",Ural-4320 DKZ,,Russia,5,,,2.0,,,,,,,,3.0,,
"Trucks, Vehicles, and Jeeps",Ural-4320 tanker,,Russia,179,1.0,,63.0,,,1.0,,2.0,,,112.0,,
"Trucks, Vehicles, and Jeeps",Ural Avtozaks,,Russia,7,,,1.0,,,,,,,,6.0,,
"Trucks, Vehicles, and Jeeps",Ural-43206,,Russia,177,1.0,,36.0,,,4.0,3.0,2.0,,,131.0,,
"Trucks, Vehicles, and Jeeps",Ural Federal,,Russia,24,,,6.0,,,,,,,,18.0,,
"Trucks, Vehicles, and Jeeps",Ural-532301 with armoured cabin,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Ural-5323,,Russia,4,,,2.0,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",Mobile field bathhouse PPB-32VU based on the Ural-53236,,Russia,2,,,1.0,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Ural-63704-0010 Tornado-U,,Russia,22,1.0,,5.0,,,1.0,,1.0,,,14.0,,
"Trucks, Vehicles, and Jeeps",Ural-542301 tank transporter,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",Ural-63501-AT,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",MAZ TZ-500 tanker,,the Soviet Union,3,,,,,,,,,,,3.0,,
"Trucks, Vehicles, and Jeeps",MAZ 531605 tanker,,Belarus,3,,,,,,,,,,,3.0,,
"Trucks, Vehicles, and Jeeps",KamAZ 4x4,,Russia,33,1.0,,4.0,,,1.0,,,,,27.0,,
"Trucks, Vehicles, and Jeeps",AS-4350 medical vehicle,,Russia,13,,,3.0,,,,,,,,10.0,,
"Trucks, Vehicles, and Jeeps",AS-4350.1 medical vehicle,,Russia,3,,,,,,,,,,,3.0,,
"Trucks, Vehicles, and Jeeps",KamAZ 6x4,,Russia,3,,,1.0,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",KamAZ 6x6,,Russia,982,10.0,,130.0,,,23.0,2.0,20.0,,,797.0,,
"Trucks, Vehicles, and Jeeps",KamAZ 6x6 tanker,,Russia,140,,,28.0,,,6.0,,2.0,,,104.0,,
"Trucks, Vehicles, and Jeeps",PAK-200M mobile field kitchen,,Russia,1,,,1.0,,,,,,,,,,
"Trucks, Vehicles, and Jeeps",AP-2 mobile emergency room based on KamAZ 6x6,,Russia,2,,,2.0,,,,,,,,,,
"Trucks, Vehicles, and Jeeps",KamAZ 8x8,,Russia,20,,,5.0,,,,,,,,15.0,,
"Trucks, Vehicles, and Jeeps",KamAZ 8x8 tanker,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",KamAZ Avtozaks,,Russia,21,1.0,,4.0,,,,,,,,16.0,,
"Trucks, Vehicles, and Jeeps",KamAZ-5350 with armoured cabin,,Russia,17,,,6.0,,,2.0,,,,,9.0,,
"Trucks, Vehicles, and Jeeps",KamAZ with MM-501 armoured cabin,,Russia,31,2.0,,8.0,,,1.0,,1.0,,,19.0,,
"Trucks, Vehicles, and Jeeps",KamAZ 8x8 with armoured cabin,,Russia,2,,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",KamAZ-6350 8x8 artillery tractor,,Russia,17,,,,,,2.0,,,,,15.0,,
"Trucks, Vehicles, and Jeeps",ATS-59G artillery tractor,,Russia,2,,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",KamAZ-65117,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",KamAZ-65221-22,,Russia,2,,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",KamAZ-65225 low-loader,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",KamAZ 'Gorets' 3958,,Russia,2,,,,,,,,1.0,,,1.0,,
"Trucks, Vehicles, and Jeeps",MAZ-5337 fuel tanker,,the Soviet Union,2,,,,,,,,1.0,,,1.0,,
"Trucks, Vehicles, and Jeeps",UAZ-469 jeep,,the Soviet Union,37,1.0,,11.0,,,1.0,,3.0,,,21.0,,
"Trucks, Vehicles, and Jeeps",UAZ-469RKh(B) CBRN reconnaissance and decontamination vehicle,,the Soviet Union,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",UAZ-452 van,,the Soviet Union,117,1.0,,10.0,,,7.0,2.0,4.0,,,93.0,,
"Trucks, Vehicles, and Jeeps",UAZ-3303,,the Soviet Union,11,,,1.0,,,1.0,,,,,9.0,,
"Trucks, Vehicles, and Jeeps",LuAZ-969,,the Soviet Union,3,,,,,,,,1.0,,,2.0,,
"Trucks, Vehicles, and Jeeps",UAZ Patriot jeep,,Russia,6,,,1.0,,,1.0,,,,,4.0,,
"Trucks, Vehicles, and Jeeps",UAZ-3151,,Russia,2,,,,,,,,,,,2.0,,
"Trucks, Vehicles, and Jeeps",UAZ-3153,,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",UAZ-31514,,Russia,1,,,1.0,,,,,,,,,,
"Trucks, Vehicles, and Jeeps",UAZ-23632 pickup truck,,Russia,10,,,3.0,,,,,,,,7.0,,
"Trucks, Vehicles, and Jeeps",UAZ-23632-148-64 armed pickup truck,,Russia,9,,,,,,,,,,,9.0,,
"Trucks, Vehicles, and Jeeps",UAZ-394511 ‘Esaul’,,Russia,5,,,,,,,,2.0,,,3.0,,
"Trucks, Vehicles, and Jeeps",UAZ-515195 'Esaul',,Russia,1,,,,,,,,,,,1.0,,
"Trucks, Vehicles, and Jeeps",UAZ-39094,,Russia,19,,,,,,,,1.0,,,18.0,,
"Trucks, Vehicles, and Jeeps",Unknown fuel tanker,,Russia,6,,,,,,,,,,,6.0,,
"Trucks, Vehicles, and Jeeps",(Unknown) truck,,Russia,268,1.0,,10.0,1.0,,9.0,2.0,,,,245.0,,
"Trucks, Vehicles, and Jeeps",(Unknown) vehicle,,Russia,51,,,,,,6.0,1.0,,,,44.0,,
